,speed,power,crop
2018-05-18 12:42:35,7.862,132.0,0.0
2018-05-18 12:42:36,7.805,148.0,0.0
2018-05-18 12:42:37,7.776,155.0,0.0
2018-05-18 12:42:38,7.748,154.0,0.0
2018-05-18 12:42:39,7.805,169.0,0.0
2018-05-18 12:42:40,7.776,174.0,0.0
2018-05-18 12:42:41,7.805,171.0,0.0
2018-05-18 12:42:42,7.693,157.0,0.0
2018-05-18 12:42:43,7.665,153.0,0.0
2018-05-18 12:42:44,7.833,141.0,0.0
2018-05-18 12:42:45,7.805,135.0,0.0
2018-05-18 12:42:46,7.833,132.0,0.0
2018-05-18 12:42:47,7.833,148.0,0.0
2018-05-18 12:42:48,7.862,141.0,0.0
2018-05-18 12:42:49,7.891,148.0,0.0
2018-05-18 12:42:50,7.862,187.0,0.0
2018-05-18 12:42:51,7.949,196.0,0.0
2018-05-18 12:42:52,8.099,194.0,0.0
2018-05-18 12:42:53,8.192,196.0,0.0
2018-05-18 12:42:54,8.13,196.0,0.0
2018-05-18 12:42:55,8.069,181.0,0.0
2018-05-18 12:42:56,8.161,177.0,0.0
2018-05-18 12:42:57,8.099,142.0,0.0
2018-05-18 12:42:58,8.192,149.0,0.0
2018-05-18 12:42:59,8.287,176.0,0.0
2018-05-18 12:43:00,8.585,178.0,0.0
2018-05-18 12:43:01,8.351,155.0,0.0
2018-05-18 12:43:02,8.099,165.0,0.0
2018-05-18 12:43:03,8.255,214.0,0.0
2018-05-18 12:43:04,8.099,207.0,0.0
2018-05-18 12:43:05,8.255,244.0,0.0
2018-05-18 12:43:06,8.223,225.0,0.0
2018-05-18 12:43:07,8.255,202.0,0.0
2018-05-18 12:43:08,8.255,172.0,0.0
2018-05-18 12:43:09,8.255,167.0,0.0
2018-05-18 12:43:10,8.287,156.0,0.0
2018-05-18 12:43:11,8.351,139.0,0.0
2018-05-18 12:43:12,8.255,125.0,0.0
2018-05-18 12:43:13,8.319,130.0,0.0
2018-05-18 12:43:14,8.255,128.0,0.0
2018-05-18 12:43:15,8.069,88.0,0.0
2018-05-18 12:43:16,7.805,59.0,0.0
2018-05-18 12:43:17,7.638,39.0,0.0
2018-05-18 12:43:18,7.478,39.0,0.0
2018-05-18 12:43:19,7.35,0.0,0.0
2018-05-18 12:43:20,7.084,0.0,0.0
2018-05-18 12:43:21,7.178,0.0,0.0
2018-05-18 12:43:22,7.107,0.0,0.0
2018-05-18 12:43:23,7.014,0.0,0.0
2018-05-18 12:43:24,6.924,0.0,0.0
2018-05-18 12:43:25,6.707,0.0,0.0
2018-05-18 12:43:26,6.666,0.0,0.0
2018-05-18 12:43:27,6.445,0.0,0.0
2018-05-18 12:43:28,6.276,0.0,0.0
2018-05-18 12:43:29,6.132,0.0,0.0
2018-05-18 12:43:30,6.08,0.0,0.0
2018-05-18 12:43:31,5.945,0.0,0.0
2018-05-18 12:43:32,5.945,0.0,0.0
2018-05-18 12:43:33,5.739,0.0,0.0
